voivodships,total/city/rural area,2015,2024
Poland,total,64.0,71.1
Poland,city,13.4,14.8
Poland,rural area,50.6,56.2
dolnośląskie,total,76.4,81.4
dolnośląskie,city,20.9,22.0
dolnośląskie,rural area,55.5,59.4
kujawsko-pomorskie,total,56.6,67.1
kujawsko-pomorskie,city,9.5,11.1
kujawsko-pomorskie,rural area,47.1,56.1
lubelskie,total,56.5,63.5
lubelskie,city,7.0,8.0
lubelskie,rural area,49.5,55.4
lubuskie,total,50.8,54.8
lubuskie,city,11.5,12.3
lubuskie,rural area,39.3,42.5
łódzkie,total,70.7,80.0
łódzkie,city,12.5,14.4
łódzkie,rural area,58.2,65.5
małopolskie,total,74.2,77.1
małopolskie,city,14.1,14.5
małopolskie,rural area,60.0,62.6
mazowieckie,total,63.9,71.6
mazowieckie,city,12.8,14.3
mazowieckie,rural area,51.2,57.2
opolskie,total,74.9,79.4
opolskie,city,15.1,17.9
opolskie,rural area,59.8,61.5
podkarpackie,total,74.1,79.8
podkarpackie,city,12.9,14.0
podkarpackie,rural area,61.2,65.8
podlaskie,total,44.5,52.2
podlaskie,city,6.8,7.9
podlaskie,rural area,37.8,44.5
pomorskie,total,53.5,67.3
pomorskie,city,12.6,15.3
pomorskie,rural area,40.9,52.0
śląskie,total,79.8,85.4
śląskie,city,37.3,40.5
śląskie,rural area,42.5,44.9
świętokrzyskie,total,70.3,79.7
świętokrzyskie,city,9.2,11.4
świętokrzyskie,rural area,61.1,68.3
warmińsko-mazurskie,total,54.4,61.6
warmińsko-mazurskie,city,8.4,9.0
warmińsko-mazurskie,rural area,46.1,52.6
wielkopolskie,total,64.4,70.5
wielkopolskie,city,12.1,13.9
wielkopolskie,rural area,52.2,56.6
zachodniopomorskie,total,63.8,70.8
zachodniopomorskie,city,14.9,16.3
zachodniopomorskie,rural area,48.9,54.4
