województwo,ogółem/miasto/wieś,2015,2024
Polska,ogółem,64.0,71.1
Polska,miasto,13.4,14.8
Polska,wieś,50.6,56.2
dolnośląskie,ogółem,76.4,81.4
dolnośląskie,miasto,20.9,22.0
dolnośląskie,wieś,55.5,59.4
kujawsko-pomorskie,ogółem,56.6,67.1
kujawsko-pomorskie,miasto,9.5,11.1
kujawsko-pomorskie,wieś,47.1,56.1
lubelskie,ogółem,56.5,63.5
lubelskie,miasto,7.0,8.0
lubelskie,wieś,49.5,55.4
lubuskie,ogółem,50.8,54.8
lubuskie,miasto,11.5,12.3
lubuskie,wieś,39.3,42.5
łódzkie,ogółem,70.7,80.0
łódzkie,miasto,12.5,14.4
łódzkie,wieś,58.2,65.5
małopolskie,ogółem,74.2,77.1
małopolskie,miasto,14.1,14.5
małopolskie,wieś,60.0,62.6
mazowieckie,ogółem,63.9,71.6
mazowieckie,miasto,12.8,14.3
mazowieckie,wieś,51.2,57.2
opolskie,ogółem,74.9,79.4
opolskie,miasto,15.1,17.9
opolskie,wieś,59.8,61.5
podkarpackie,ogółem,74.1,79.8
podkarpackie,miasto,12.9,14.0
podkarpackie,wieś,61.2,65.8
podlaskie,ogółem,44.5,52.2
podlaskie,miasto,6.8,7.9
podlaskie,wieś,37.8,44.5
pomorskie,ogółem,53.5,67.3
pomorskie,miasto,12.6,15.3
pomorskie,wieś,40.9,52.0
śląskie,ogółem,79.8,85.4
śląskie,miasto,37.3,40.5
śląskie,wieś,42.5,44.9
świętokrzyskie,ogółem,70.3,79.7
świętokrzyskie,miasto,9.2,11.4
świętokrzyskie,wieś,61.1,68.3
warmińsko-mazurskie,ogółem,54.4,61.6
warmińsko-mazurskie,miasto,8.4,9.0
warmińsko-mazurskie,wieś,46.1,52.6
wielkopolskie,ogółem,64.4,70.5
wielkopolskie,miasto,12.1,13.9
wielkopolskie,wieś,52.2,56.6
zachodniopomorskie,ogółem,63.8,70.8
zachodniopomorskie,miasto,14.9,16.3
zachodniopomorskie,wieś,48.9,54.4
