year,Polska,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
year,Poland,Dolnośląskie,Kujawsko-Pomorskie,Lubelskie,Lubuskie,Łódzkie,Małopolskie,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Śląskie,Świętokrzyskie,Warmińsko-Mazurskie,Wielkopolskie,Zachodniopomorskie
2010,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,
2015,12.4,17.6,8.8,8.0,14.5,10.2,12.5,15.5,18.1,10.1,11.6,12.7,11.1,7.8,7.9,12.4,14.5
2016,13.9,20.8,10.0,9.2,15.3,12.3,13.0,16.6,19.3,11.5,13.2,12.6,12.8,8.9,10.2,14.7,17.1
2017,15.9,22.6,12.5,10.5,18.3,14.6,17.0,18.2,21.9,14.3,13.7,13.6,14.7,10.6,11.6,16.0,17.9
2018,19.3,28.3,16.1,12.9,20.6,17.5,19.9,22.7,24.1,16.3,17.1,17.6,17.6,12.2,13.4,19.3,22.6
2019,22.6,32.4,19.1,15.5,23.3,19.2,23.1,28.6,27.5,18.0,20.1,21.0,20.5,13.8,15.7,21.4,26.8
2020,25.4,37.4,22.1,18.7,26.9,21.7,25.9,30.7,30.8,20.6,22.1,24.3,24.0,16.0,17.3,23.5,29.8
2021,29.0,41.8,26.2,23.2,32.1,25.1,28.3,34.3,34.2,23.4,26.3,28.0,27.7,19.3,19.9,26.5,34.0
2022,33.2,45.8,31.1,26.0,38.2,30.6,31.8,39.0,40.5,26.4,30.2,32.8,30.8,22.6,24.5,30.3,38.7
2023,36.0,49.4,34.7,28.4,41.6,32.3,35.3,40.9,44.3,29.4,33.6,35.1,34.7,25.2,26.6,32.8,40.6
